Author(s) ID,Title,Year,Abstract,Keywords,Language of Original Document,Document Type,Abstract Length,Topic_Label,Topic_Category
57902007600,The Economic Impacts of Future Industries of Thailand,2021,"This research aimed to analyze the link and economic impacts of future Industries in Thailand on other key production fields. IO (Input-Output) tables, multipliers, and centric network were the instruments for data analysis. This study classified 180 production fields for the years 2000, 2005, 2010, and 2015. Ten groups of S-curve were considered in two forms as the “New Engine of Growth.” The first five S-curves consisted of next-generation automotive; smart electronics; affluent, medical, and wellness tourism; agriculture and biotechnology; and food for the future. The second five S-curves consisted of robotics, aviation and logistics, biofuels and biochemicals; digital; and medical hubs as representatives of future industries in Thailand. The findings revealed that according to IO analysis, the first S-curve mostly relied on fertilizer and pesticides and wholesale trade. Subsequently, the outputs were distributed to restaurants and drinking places, i.e., coffee and tea cafes. The second S-curves mostly relied on petroleum refineries and petroleum and natural gas. The outputs from the latter were distributed to radio, television, and related services. According to multiplier analysis, it was found that for all ten groups, the components of future industries in Thailand had higher multipliers from 2000 to 2015. This described increasing output changes that occurred in all production fields. More specifically, the highest multiplier in 2015 was robotics, implying the most economic impact when robotics changed. © The Authors, (2021). All Rights Reserved.",", economics linkage; future industries; input-output tables; multiplier; network analysis",English,Conference paper,231,11,Rural Resource Management
25421821700; 24468118600,The ambiguities of “sustainable” Berlin,2021,"City marketing has a strong tradition in Berlin, with two organizations, Berlin Partner and Visit Berlin, responsible for designing and implementing relevant strategies. Sustainability has been on and off the city marketing agenda, almost exclusively in its environmental dimension. In this article, we examine the current representations of Berlin as a “sustainable city” in the official city marketing strategies. We look at how sustainability is used and instrumentalized to create a specific city profile and also to attract particular target groups in tourism. We propose an analysis of sustainable planning in Berlin since reunification to show how it has moved into different directions over time and how this has (or has not) been followed by city marketing. In this endeavor, we move between the existing, and as we argue deeper and more sophisticated, environmental planning of the city on one hand, and the reductions and simplifications of city marketing representations on the other. Finally, we argue that there are inherent contradictions in marketing a sustainable city, where both in terms of tourism and economic development, the concept of growth seems to be reaching environmental limits. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Berlin; City marketing; Destination marketing; Green city; Smart city; Sustainability; Urban development, Berlin; Germany; economic development; environmental planning; marketing; strategic approach; sustainability; urban area",English,Article,194,3,Urban Sustainability
57219053704; 57195776608; 57223030873,Performance of Smart Cities Concerning the Use of Internet of Things: A Case Study of Four Indian Himalayan Cities,2021,"The rapid urbanization of Indian cities is leaving the available resources very limited for the city dwellers. The problems related to cities need special attention else it may never be solved. The best example is the Dharavi slums in Mumbai, where even after decades, proper infrastructural facilities could not be provided [1]. Similar fear is growing among Urban planners and policymakers to transform cities in such a way that it can address the unforeseen problems efficiently without disturbing the regular city routine. The efficiency in managing a city's available resources can be brought with the help of the Internet of Things (IoT). The present study tries to investigate the performance of the smart city initiative, which is adopted by 100 Indian cities and investigates how IoT can be used efficiently. The results from the four selected Himalayan cites shows that policymakers ignored the need of the city dwellers and prioritized tourism and aesthetic appeal of the cities. The lack of attention to the management of primary resources can be seen by the percentage of funds that is allocated to each City. The study recommends allocating funds equally in the seven identified categories. The study also suggests and discusses the strategies that can be taken up as a top priority. Building trust and citizens participation were found to be the most critical factors for the implementation of a development project in a city. © 2021, The Author(s), under exclusive license to Springer Nature Switzerland AG.",", Citizen participation; Himalayan cities; India; Internet of things; Smart city; Trust building",English,Book chapter,244,3,Urban Sustainability
57203589270; 57223050243; 59007660000,Strategic management of hemp industry development,2021,"The purpose of the article-substantiation of theoretical, methodical and practical aspects of formation of strategic management of development of the hemp industry in Ukraine in the conditions of strengthening of competition and maintenance of sustainable development of rural territories. Research methods. The methodological basis of the study were the provisions of economic theory and systems analysis. The stages of development of cannabis were considered using the historical method. The dynamics of sown areas was studied using the statistical and economic method. Using a logical method, the tools (methods) of strategic management in the field of cannabis were evaluated on the example of the Institute of Bast Cultures of NAAS of Ukraine and the main directions of strategic management development. The method of analysis and synthesis was used to identify opportunities to expand the tools of strategic management (agricultural cluster as a consequence of the use of an innovative European tool-smart specialization). Theoretical generalizations to substantiate the use of existing and innovative tools of strategic management and conclusions were formed using the abstract-logical method. Research results. The historical key moments that influenced the development of the cannabis industry over the last hundred years are highlighted. The inefficiency of the traditional top-down management strategy is proved and a new tool of strategic management of the European model is substantiated-smart specialization as a basis for regional development. The algorithm of creation and efficiency of agrotourism cluster ""Slobozhanske hemp"" in Sumy region is given. The main directions of development of strategic management in the field of hemp are outlined. A SWOT analysis matrix was used to study in detail the strengths, weaknesses, opportunities and threats of the cannabis industry. On the example of the Institute of Bast Crops of NAAS of Ukraine, the main tools of strategic planning were outlined and analyzed. Scientific novelty. The necessity of reorientation of the strategy of regional management from vertical (top-down) to innova-tive, local, multilevel (smart specialization) is substantiated. With the help of SWOT-analysis, it identified weaknesses and threats that prevent the defense management strategy to move to a defensive-offensive base strategy. The combination of strengths and opportunities in the long run will provide an opportunity to choose a strategy for sustainable development of the cannabis industry. The expediency of creating the Agro-tourist cluster ""Slobozhanske hemp"" in Sumy region as a powerful economic mechanism and a ""green tourist magnet"" is considered. The analysis of the main tools of strategic management of ILK NAAS of Ukraine provided an opportunity to formulate the main directions of development of strategic management in the field of hemp. Practical significance. The reorientation of the regional management strategy from vertical to horizontal provides an opportunity for businesses not only to expand their capabilities in the field of growing and processing hemp products from the introduction of modern scientific advances, due to lower state regulation, but also to revive age-old traditions. everyday life. In general, the solution of the tasks will contribute to the expansion of sown areas of technical hemp, the creation of facilities for processing hemp, the creation of jobs and, consequently, the added value obtained by deep processing of products, increase tax revenues to budgets of various levels. © 2021, National Scientific Centre Institute of Agrarian Economics. All rights reserved.",", agro-tourist cluster; benchmarking; hemp growing; management strategy; SWOT analysis; tools (methods) of management strategy",Ukrainian,Article,538,11,Rural Resource Management
58307346900; 57193334915; 57354189500,Natural heritage: Provision of cultural ecosystem services from the Malyovitsa Range of the Rila National Park,2021,"Nature-based tourism and recreation are attracting attention today as the most favourable form of direct connection between people and nature, and as a very successful tool to motivate people to protect their natural heritage. This study aims to develop and test a methodology to assess the potential of an acknowledged natural heritage site in Bulgaria-Malyovitsa Range and Urdini Cirque in ‘Rila’ National Park to provide cultural ecosystem services. A holistic approach is applied, using landscapes as the main territorial unit, and source of information. For the purpose of practicing representative types of mountain tourism: ‘mountain hiking’, ‘nature education’ tourism, ‘ski touring’ and ‘mountaineering’ a total of 15 ecosystem services were assessed based on 25 biophysical and social indicators. ‘Primary forest landscapes on moraine materials’ and ‘Primary landscapes with mugo pine on igneous rocks’ receive the highest score. Based on the results obtained, an assessment of the mainstream activity-access to mountain hiking provided by the landscapes was carried out and two touristic routes with very high potential to deliver this service were identified. The results of the study are directed towards the responsible parties in support of the natural heritage conservation in Rila National Park through sustainable management the potential to provide cultural (recreational) ecosystem services. The research was conducted within the scientific programme of the project “Conceptualization, Flexible Methodology, and a Pilot Geospatial Platform for Access of the Bulgarian Natural Heritage to the European Digital Single Market of Knowledge and Information Services” within the project BG05M2OP001-1.001-0001 Establishment and Development of “Heritage BG” Centre of Excellence (Operational Program “Science and Education for Intelligent Growth”, priority Axis 1 “Research and technological development”). © M. Silvestriev et al.",", Bulgaria; high mountain landscapes; recreational assessment; tourism",English,Article,275,3,Urban Sustainability
56428619400,Designing for Urban Mobility: The Role of Digital Media Applications in Increasing Efficiency of Intelligent Transportation Management System,2021,"How to improve traffic efficiency has become a challenge for the planning, design, construction of smart cities. The large-scale adaptation to digital networks and mobile platforms provide smart solutions to urban management issues such as transportation services, traffic congestion and road navigation. The aim of research is to demonstrate how digital media is effectively integrated into the implementation of efficient intelligent transport management systems (ITMS). Case studies analyse DiDi, a mobile app which provides transportation services such as ride-hailing and ridesharing in China’s urban cities, and Amap, a location-based digital mapping solutions provider for smartphone users. Analysis shows that digital networks play a crucial economic role by producing robust, agile, interactive data that improves users’ awareness of traffic conditions, from drivers to passengers and travellers. Findings demonstrate that innovative network-based features and capabilities such as interactivity and real-time response enable users to plan for smoother journeys to destinations, suggesting that urban mobility is increasingly dependent on technological solutions to provide services accessible to all. Other emerging smart cities should emulate China’s urban mobility design model utilising digital platforms to reduce resource use and time wastage through better informed, better connected and more efficient interactive systems. © 2021, The Author(s), under exclusive license to Springer Nature Switzerland AG.",", Digital networks; Intelligent traffic management system; Mobile platform; Smart city; Urbanisation",English,Book chapter,207,4,Mobility and Transportation
55996550200,Jordan: Background and U.S. Relations (Updated),2021,"The Hashemite Kingdom of Jordan is a key U.S. partner in the Middle East. Although the United States and Jordan have never been linked by a formal treaty, the two countries have cooperated on a number of regional and international issues over the years. Jordan remains at peace with Israel and is a key interlocutor with the Palestinians. Jordan’s strategic importance to the United States is evident given ongoing instability in neighboring Syria and Iraq. Jordan also is a longtime U.S. partner in global counterterrorism operations. U.S.-Jordanian military, intelligence, and diplomatic cooperation seeks to empower political moderates, reduce sectarian conflict, and eliminate terrorist threats. U.S. officials frequently express their support for Jordan. U.S. support has helped Jordan address serious vulnerabilities, both internal and external. Jordan’s small size and lack of major economic resources have made it dependent on aid from Western and various Arab sources. President Trump has acknowledged Jordan’s role as a key U.S. partner in countering the Islamic State, as many U.S. policymakers advocate for continued robust U.S. assistance to the kingdom. Annual U.S. aid to Jordan has nearly quadrupled in historical terms over the last 15 years. The United States has provided economic and military aid to Jordan since 1951 and 1957, respectively. Total bilateral U.S. aid (overseen by the Departments of State and Defense) to Jordan through FY2018 amounted to approximately $22 billion. Jordan also hosts over 3, 000 U.S. troops. To date, Jordan has withstood the impact of Coronavirus Disease 2019 (COVID-19) with minimal loss of life (a reported nine deaths), but at a steep cost to its economy. Jordan’s small size and strong public health system arguably contributed to the country’s ability to manage the pandemic effectively. Jordan is one of the first Arab countries to reopen; as of June 2020 the state had lifted most restrictions on economic activity and certain public gatherings, such as religious worship. Analysts anticipate that Jordan’s Gross Domestic Product (GDP) will contract in 2020 by 3.5% after growing 2% last year. Losses in government revenue caused by fewer remittances and a weakened market for tourism are expected to widen the budget deficit in the years ahead. As the Trump Administration has enacted changes to longstanding U.S. policies on Israel and the Palestinians, which the Palestinians have criticized as unfairly punitive to them and biased toward Israel, Jordan has found itself in a difficult position. While King Abdullah II seeks to maintain strong relations with the United States, he rules over a country where the issue of Palestinian rights resonates with much of the population; more than half of all Jordanian citizens originate from either the West Bank or the area now comprising the state of Israel. In trying to balance U.S.-Jordanian relations with Palestinian concerns, King Abdullah II has refrained from directly criticizing the Trump Administration on its moves, while urging the international community to return to the goal of a two-state solution that would ultimately lead to an independent Palestinian state with East Jerusalem as its capital. Jordanian leaders have expressed strong opposition to a possible Israeli cabinet and Knesset vote on annexing West Bank territory-in coordination with the United States-after July 1, 2020. King Abdullah II has signaled that should Israel go ahead with annexation, Jordan is prepared to escalate its confrontation with Israel. As Jordan considers whether to revisit its ties to Israel, the range of possible options Jordan may be considering include withdrawing its ambassador from Israel, reducing security cooperation, cancelling its natural gas deal with Israel, and either partially or fully suspending the 1994 peace treaty. Congress may consider legislation pertaining to U.S. relations with Jordan. On February 18, 2016, President Obama signed the United States-Jordan Defense Cooperation Act of 2015 (P.L. 114-123), which authorizes expedited review and an increased value threshold for proposed arms sales to Jordan for a period of three years. It amended the Arms Export Control Act to give Jordan temporarily the same preferential treatment U.S. law bestows upon NATO members and Australia, Israel, Japan, New Zealand, and South Korea. S. 28, the United States-Jordan Defense Cooperation Extension Act, would reauthorize the United States-Jordan Defense Cooperation Act (22 U.S.C. §275) through December 31, 2022. In the House, H.R. 4862 also would reauthorize the 2015 Act while also calling on the United States International Development Finance Corporation to issue a call for “proposals pursuing investment funds with a focus on Jordan.”. © 2016 by Nova Science Publishers, Inc.",,English,Book chapter,738,3,Urban Sustainability
57201152174; 23393897600; 58438245200; 57208086274; 54950194100; 6701923370,Climate Change Mitigation Through Smart Environmental Monitoring of the Urban Ecosystem in Insular Touristic Cities: Experience from Rethymno and Madeira,2021,"Cities, and general urban areas, contribute critically to climate change because of the GHGs related to traffic congestion, fossil fuel consumption, noise and air pollution. Air pollution, despite the noteworthy improvements during the last decades, still plays a significant role in the quality of living in European cities as it causes damages to health and ecosystems, thus making urgent the immoderate need of diminishing it. Within the Horizon 2020 CIVITAS DESTINATIONS project, six European island cities, which are highly attractive destinations for tourists worldwide, implemented various sustainable mobility measures. Among them, Funchal, Madeira-Portugal, and Rethymno, Crete-Greece, implemented two different environmental monitoring systems to measure and calculate a predetermined set of indicators, capable of estimating the environmental benefits in transport, economy, society, energy, and the environment. The monitoring systems were installed in specific sites all around these two cities, aiming, through the integrated sensors, to collect environmental data related to transport load, such as environmental indexes (temperature, humidity, noise) and air pollutants (CO2, CO, NOx, SO2, PM). The collection of critical and reliable data offers the opportunity for an effective evaluation of the overall performance of the implemented measures toward sustainable, environmentally friendly, and low-carbon mobility policies. © The Editor(s) (if applicable) and The Author(s) 2022.",", Air quality; Environmental impact assessment; Environmental monitoring; Transport impacts; Urban environment",English,Book chapter,205,11,Rural Resource Management
55802919300; 38862855600,Preliminary Findings From a Pilot Study of Electric Vehicle Recharging From a Stand-Alone Solar Minigrid,2021,"The symbiosis between smart minigrids and electric mobility has the potential to improve the cost and reliability of energy access for off-grid communities while providing low-carbon transport services. This study explores the commercial viability of using electric vehicles (EVs), recharged by solar minigrids, to provide transport services in off-grid communities. Preliminary findings are presented from a field trial in The Gambia that aims to assess the techno-economic feasibility of integrating sustainable energy and transport infrastructures in sun-rich regions of the Global South. As a dispatchable anchor load, an EV can improve the technical and economic performance of a minigrid by providing demand-side response services. In the developing world, rural communities are often among the poorest, and inadequate transport services remain a major barrier to wealth-creation. Some solutions to this situation may be transferrable to island communities, which share similar challenges in terms of access to energy and fuel. The first of its kind in Africa, this field trial uses an electric minivan, operating from an off-grid village where it has access to a minigrid whose 4.5 kWp of photovoltaic modules form the roof of a parking shelter for the vehicle. While there, the taxi can recharge, ideally during sunny periods when the photovoltaic array produces surplus power, thus allowing the EV’s battery to recharge while bypassing the minigrid’s own accumulator. This improves system reliability and cost effectiveness, while providing pollution-free energy for the taxi. Ultimately, the intention is to test different vehicles in a variety of circumstances, but this paper outlines only the preliminary findings of the first of these trials. Early results provide convincing new evidence that commercial viability of such a concept is possible in Sub-Saharan Africa. Some promising scenarios for commercial viability are identified, which warrant further investigation, since they suggest that a taxi driver’s earnings could be increased between 250 and 1,300% in local operations, and even 20-fold in tourist markets, depending on vehicle type, minigrid configuration and target market. It is hoped that these may encourage the rollout of solar-recharged EVs where the nexus of sustainable energy and transport systems are likely to make the greatest contribution to addressing the UN’s Sustainable Development Goals, by helping to solve the trilemma of providing energy security, social benefit and environmental sustainability in low-income countries. © Copyright © 2021 Gammon and Sallah.","Automobile testing; Commerce; Commercial vehicles; Cost effectiveness; Demand side management; Developing countries; Economic analysis; Electric automobiles; Electric power transmission networks; Energy conservation; Energy security; Free energy; Photovoltaic cells; Reliability; Sustainable development; Taxicabs; Commercial viability; Demand side response; Economic performance; Electric Vehicles (EVs); Environmental sustainability; Photovoltaic modules; Techno-economic feasibility; Transport infrastructure; Commercial vehicle operations, developing world; electric vehicles; international development; low-carbon transport; minigrids; smart recharging; solar energy; sub-Saharan Africa",English,Article,384,11,Rural Resource Management
57203043346; 57203042707; 57209290882,Functions and benefits of green infrastructure: from contrast to climate change to the tourist positioning of cities; [FUNZIONI E BENEFICI DELLE INFRASTRUTTURE VERDI: DAL CONTRASTO AI CAMBIAMENTI CLIMATICI AL POSIZIONAMENTO TURISTICO DELLE CITTÀ],2021,"Cities, in addition to being the main protagonists of global competition, represent those territorial contexts in which the effects of climate change become more evident. Among the sustainable urban planning tools supporting them are green infrastructures that can provide useful solutions capable of strengthening their resilience, transforming them into more pleasant and liveable environments. In light of these considerations, the contribution addresses the role played by green infrastructures also for the purposes of a more effective tourist positioning of cities in compliance with the sustainable development goals. © 2021 Documenti Geografici. All rights reserved.",", Cities; Ecosystem services; Green infrastructures; Urban tourism",Italian,Article,94,3,Urban Sustainability
56309455100; 58569625900; 56948437900; 59010036000,Estimating public bicycle trip characteristics with consideration of built environment data,2021,"A reliable estimation of public bicycle trip characteristics, especially trip distribution and duration, can help decision-makers plan for the relevant transport infrastructures and assist operators in addressing issues related to bicycle imbalance. Past research studies have attempted to understand the relationship between public bicycle trip generation, trip attraction and factors such as built environment, weather, population density, etc. However, these studies typically did not include trip distribution, duration, and detailed information on the built environment. This paper aims to estimate public bicycle daily trip characteristics, i.e., trip generation, trip attraction, trip distribution, and duration using points of interest and smart card data from Nanjing, China. Negative binomial regression models were developed to examine the effect of built environment on public bicycle usage. Totally fifteen types of points of interest (POIs) data are investigated and factors such as residence, employment, entertainment, and metro station are found to be statistically significant. The results showed that 300 m buffer POIs of residence, employment, entertainment, restaurant, bus stop, metro station, amenity, and school have significantly positive effects on public bicycle generation and attraction, while, counterintuitively, 300 m buffer POIs of shopping, parks, attractions, sports, and hospital have significantly negative effects. Specifically, an increase of 1% in the trip distance leads to a 2.36% decrease in the origin-destination (OD) trips or a 0.54% increase of the trip duration. We also found that a 1% increase in the number of other nearby stations can help reduce 0.19% of the OD trips. The results from this paper can offer useful insights to operators in better estimating public bicycle usage and providing reliable services that can improve ridership. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","China; Fujian; Nanjing [Fujian]; decision making; employment; estimation method; metro system; regression analysis; research work; transport structure, Negative binomial regression; Public bicycle; Road traffic engineering; Smart card; Trip distribution; Trip duration",English,Article,279,4,Mobility and Transportation
NoID,"7th International Conference of International Association of Cultural and Digital Tourism, IACuDiT 2020",2021,"The proceedings contain 49 papers. The special focus in this conference is on International Association of Cultural and Digital Tourism. The topics include: Examining the Relationship Between Tourism Seasonality and Saturation for the Greek Prefectures: A Combined Operational and TALC-Theoretic Approach; sustainable Tourism Development in the Ionian Islands. The Case of Corfu Island; sustainable Tourism; Vector of the Social and Solidarity Economy: Case of Region Souss Massa, South of Morocco; overtourism and Tourism Carrying Capacity: A Regional Perspective for Greece; tourism Transportation Services Provided on the Principle of Sharing Economy; integration of Sustainable Practices in Firms: The Specifics of the Tourism, Leisure and Hospitality Sectors; environmentally Friendly Tourists Ιn Morocco; Tourism and Contact Tracing Apps in the COVID-19 Era; Tourism Customer Attitudes During the COVID-19 Crisis; cycling Tourism: Characteristics and Challenges for the Developments and Promotions of a Special Interest Product; solo Female Travelers as a New Trend in Tourism Destinations; strategic Hotel Management in the “Hostile” International Environment; strategic Human Resource Management in the International Hospitality Industry. An Extensive Literature Review; from Mass Tourism and Mass Culture to Sustainable Tourism in the Post-covid19 Era: The Case of Mykonos; smart Analysis of Volatility Visualization as a Tool of Financial and Tourism Risk Management; the Productivity Puzzle in Cultural Tourism at Regional Level; capital Structure Determinants of Greek Hotels: The Impact of the Greek Debt Crisis; human Resource Empowerment and Employees’ Job Satisfaction in a Public Tourism Organization: The Case of Greek Ministry of Tourism.",,English,Conference review,244,11,Rural Resource Management
57211391800; 57208377664; 16234677300; 24477392600; 54411156200,Innovating with nature: From nature-based solutions to nature-based enterprises,2021,"Nature-based solutions (NBS) to address societal challenges have been widely recognised and adopted by governments in climate change and biodiversity strategies. Nevertheless, significant barriers exist for the necessary large-scale implementation of NBS and market development is still in its infancy. This study presents findings from a systematic review of literature and a survey on private sector agents in the planning and implementation of NBS, with the aim to identify them. In this study, we propose a typology for organisations delivering NBS and a categorisation of their economic activities. The most common organisation type found is nature-based enterprise which offers products or services where nature is a core element and used sustainably and engages in economic activity. Moreover, eleven categories of economic activities were identified, ranging from ecosystem restoration, living green roofs, and eco-tourism to smart technologies and community engagement for NBS. Nature-based enterprises contribute to a diverse range of sustainable economic activities, that standard industry classification systems do not adequately account for. The recognition of the value created by these activities is essential for designing effective policy support measures, and for market development of the sector and its potential to facilitate the wider adoption of NBS. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Classification of economic activities; Nature-based enterprise; Nature-based solutions; Sustainable development, biodiversity; climate change; economic activity; industrial enterprise; market development; policy approach; policy implementation; restoration ecology; strategic approach",English,Article,205,11,Rural Resource Management
57204647664; 57204645595; 57220164001; 57220165852; 57220155611; 54386863300; 36241361100,A city cluster risk-based approach for Sars-CoV-2 and isolation barriers based on anonymized mobile phone users' location data,2021,"Given the recent outbreak of Sars-CoV-2, several countries started to seek different strategies to control contamination and minimize fatalities, which are usually the primary objectives for all strategies. Secondary objectives are related to economic factors, therefore ensuring that society would be able is to keep its essential activities and avoid supply disruptions. This paper presents an application of anonymized mobile phone users' location data to estimate population flow amongst cities with an origin-destination matrix. The work includes a clustering analysis of cities, which may enable policymakers (and epidemiologists) to develop public policies giving the appropriate consideration for each set of cities within a Province or State. Risk measures are included to analyze the severity of the spread among the clusters, which can be ranked. Then, intelligence can be obtained from the analysis, and some clusters could be isolated to avoid contagion while keeping their economic activities. Therefore, this analysis is reproducible for other states of Brazil and other countries and can be adapted for districts within a city, especially considering the possibility of a second wave COVID-19 pandemic. © 2020 Elsevier Ltd","Cellular telephones; Economics; Population statistics; Clustering analysis; Economic activities; Isolation barriers; Mobile-phone users; Origin destination matrices; Primary objective; Risk based approaches; Supply disruption; cluster analysis; COVID-19; mobile phone; network analysis; population outbreak; public health; Risk assessment, Clustering; COVID-19; Networks; Public health; Sars-CoV-2; Weighted directed graphs",English,Article,182,3,Urban Sustainability
6701923370,Sustainable Mobility for Island Destinations,2021,"This open access book presents the findings of the CIVITAS DESTINATIONS project regarding the link between mobility and tourism in urban areas and the complications tourist destinations face in becoming more sustainable. It integrates the tourist mobility needs and the associated fluctuation impacts in the design of mobility solutions in order to enforce the accessibility, attractiveness, efficiency and sustainability of transport services and infrastructure for both residents and tourists in island cities such as Rethymno, Crete, and Valetta, Malta. Sustainable Mobility for Island Destinations contains contributions from highly experienced academics, engineers, and planners in the area of sustainable tourism, mobility services, and smart solutions design companies assisting: the change of the mind set in insular and tourism areas; the adoption of green mobility systems and services; and monitoring the environmental benefits to assist towards the Climate Change. It explores the challenges tourist islands face, such as the seasonal fluxes in transport usage, the pressures of tourism to provide aesthetic green spaces, and the space issues of being an island in relation to economic potential and infrastructure construction. The book suggests areas for future research, and implementation of innovative systems and policies. It will be of interest to academics, planners, decision makers, and environmentalists. © The Editor(s) (if applicable) and The Author(s) 2022.",", Environmental Impact Assessment; Green Vehicles Fuels; Island Tourism; Open Access; Sustainable Destinations; Sustainable Development; Sustainable Tourism; Sustainable Transport; Sustainable Urban Mobility Plans; Transport and Mobility Systems",English,Book,212,11,Rural Resource Management
57204422045; 57204431411,Smart Analysis of Volatility Visualization as a Tool of Financial and Tourism Risk Management,2021,"Volatility is important for option traders because it affects options prices. Generally, higher volatility makes options more valuable, and vice versa. During periods of high volatility, financial markets are relatively more efficient. Volatility falls when markets rise and rise as markets fall. This paper focuses on examining the dynamics of European capital markets, S&P 500, GEPU, and VIX. Also, we observe the performance of S&P 500, Stoxx 600, and Stoxx Europe 600 Travel and Leisure price index. The analyzed period is 2003–2016. The results show that studied stock indices tend to move synchronously during the examined period. We register a high level of volatility for the period 2007–2011. The first major bottom of VIX is in December 2007. We can conclude that there is a strong correlation between VIX, GEPU, and S&P500 measuring “investor risk appetite”. GEPU fluctuates around consistently high levels since mid-2011 until the beginning of 2013. The dynamics of GEPU and VIX are not synchronized for the period 2013–2016. In the crisis period, travel and leisure stock performance lower because of increasing global uncertainty. © 2021, The Author(s), under exclusive license to Springer Nature Switzerland AG.",", Capital markets volatility; Financial crisis; GEPU; Tourism industry; VIX",English,Conference paper,189,11,Rural Resource Management
36696623700,"Sustainable, Smart and Safe Mobility at the Core of Sustainable Tourism in Six European Islands",2021,"Transport and tourism are rising economic sectors based on their mutual growth on reliable technological tools, affordable energy sources in relatively peaceful decades. This growing trend, faced along years of sudden slowdown caused mainly by the financial and health crisis; one of the most severe and recent episodes was theCOVID-19 pandemic.The pandemic outbreak is representing a global turning point for both international markets of tourism and transport which can be addressed with innovative solutions looking to retake the growing trends. In such a changing framework CIVITAS DESTINATIONS European project addressed the main challenges of tourism and resident mobility at local (rural, urban area, large city) and regional levels, focusing on six European islands (Malta, Cyprus, Elba, Crete, Gran Canaria, Madeira) aiming to implement and evaluate 83 different sustainablemobility measures. The project proves to have a cumulative relevant impact on environmental indicators such as CO2 emission avoided, fossil fuel saved and energy saved. Additionally, the project findings focus on the quality of life and economic development to grant long-run environmental and financial sustainability of tourism and transport at the local and regional levels. The main aspects observed were related to public participation and governance models in touristic mobility integrated with the residents’ needs, touristic mobility the island, role of technologies to focus on final user needs, growing trends of elder and disabled people, new integrated and innovative business in tourism and mobility markets, health at the core of future trends. © The Editor(s) (if applicable) and The Author(s) 2022.",", COVID-19; Green tourism; Insular economies; Sustainable mobility; Tourism value chain",English,Book chapter,248,11,Rural Resource Management
57211752661; 57454244600,"Determinism Technology in Smart Village: Structuration and Construction Socio- Techno in Osing Culture, Banyuwangi Indonesia",2021,"Since the modernization era, the accessibility to rural ICT centers has been the main challenge. It has been the major driving force for increasing social processes; this is known as socio-technology. ICT is no longer limited to the urban population, but it has become increasingly to the rural areas. Determination of technology emphasizes the dialectical relationship between the structure of meaning and expression that exists in society. Based on the high value considered by The Government and the community in overcoming social problems, the smart city concept was developed in rural areas called smart villages. This study aims to analyze the determination of rural development technology in Osing, Banyuwangi, which has digital public services technology called ‘Smart Village’ (SV). SV is a manifestation of the advancement of technology systems that lead to village administration and management changes. However, determination appears in the community, influenced by branding, e-wom, and the image of village destinations. Specifically, the effect of technological determination on social and economic change will be explored in this study. Data collection through observation and literature review. The results show that the determination of technology will have a major impact on the local community and culture in Osing Banyuwangi. It can carry out regional empowerment programs through SV, encouraging economic, social, political, and cultural development. © 2021 IEEE","Communications technology; Cultural differences; Economics; Global communication; Globalization; Smart cities; Sociology, Economic and social effects; Economics; Regional planning; Smart city; Communicationtechnology; Cultural difference; Driving forces; Global communication; Globalisation; Indonesia; Social problems; Social process; Structuration; Urban population; Rural areas",English,Conference paper,218,3,Urban Sustainability
57521198300; 57201152174; 54950194100; 6701923370,Assessing Sustainable Urban Mobility Policies in the Mediterranean Tourism Destinations Through Multi-Criteria Decision-Making Models,2021,"This chapter presents the assessment of 11 sustainable urban mobility measures according to 10 criteria for European medium-sized touristic cities, using multi-criteria decision-making. The study includes the viewpoint of six different European stakeholder groups, identifying their interests and comparing their ranking on appropriate mobility measures. It was found that themajority of stakeholders give the highest priority to the wellbeing of local communities and the quality of life, despite the economic implications of services and the potential impact on incoming tourism. Mostly they emphasise on at least two out of five criteria categories: Society and Environment or Society and Mobility. Tourism stakeholders showed a high preference for environmental criteria, demonstrating the continuously raising awareness on the links of tourism and environment. “Mobility management and travel plans” policy was the most popular policy amongst all groups, indicating that the provision of information, personalised plans, and smart applications can increase the use of sustainable mobility modes and have a significant positive impact in all examined categories. Overall, the multi-criteria analysis performed in this study can be a valuable tool for decision-makers during the shaping of future policies for sustainable mobility in urban tourist destinations, considering numerous parameters and stakeholders’ viewpoints. Moreover, it can be further developed and adapted to specific needs. © The Editor(s) (if applicable) and The Author(s) 2022.",", Decision-making; Multi-criteria analysis; Sustainable mobility solutions; Sustainable urban planning",English,Book chapter,217,11,Rural Resource Management
